serial_no,floor_level,zone_id,Date,Month,ta,lux,spl
40A249A8,28,50,2019/10/6,10,26.83,0,44
40A249A8,28,50,2019/10/6,10,26.85,0,44
40A249A8,28,50,2019/10/6,10,26.85,0,44
40A249A8,28,50,2019/10/6,10,26.87,0,44
40A249A8,28,50,2019/10/6,10,26.88,0,44
40A249A8,28,50,2019/10/6,10,26.87,0,44
40A249A8,28,50,2019/10/6,10,26.88,0,44
40A249A8,28,50,2019/10/6,10,26.88,0,44
40A249A8,28,50,2019/10/6,10,26.89,0,44
40A249A8,28,50,2019/10/6,10,26.89,0,44
40A249A8,28,50,2019/10/6,10,26.91,0,44
40A249A8,28,50,2019/10/6,10,26.92,0,44
40A249A8,28,50,2019/10/6,10,26.92,0,44
40A249A8,28,50,2019/10/6,10,26.91,0,44
40A249A8,28,50,2019/10/6,10,26.92,0,44
40A249A8,28,50,2019/10/6,10,26.93,0,44
40A249A8,28,50,2019/10/6,10,26.94,0,44
40A249A8,28,50,2019/10/6,10,26.93,0,44
40A249A8,28,50,2019/10/6,10,26.93,0,44
40A249A8,28,50,2019/10/6,10,26.94,0,44
40A249A8,28,50,2019/10/6,10,26.95,0,43
40A249A8,28,50,2019/10/6,10,26.95,0,44
40A249A8,28,50,2019/10/6,10,25.92,0,44
40A249A8,28,50,2019/10/6,10,26.94,0,44
40A249A8,28,50,2019/10/6,10,26.94,0,44
40A249A8,28,50,2019/10/6,10,26.93,0,44
40A249A8,28,50,2019/10/6,10,26.93,0,44
40A249A8,28,50,2019/10/6,10,26.93,0,44
40A249A8,28,50,2019/10/6,10,26.92,0,44
40A249A8,28,50,2019/10/6,10,26.92,0,44
40A249A8,28,50,2019/10/6,10,26.9,0,44
40A249A8,28,50,2019/10/6,10,26.88,0,44
40A249A8,28,50,2019/10/6,10,26.86,0,44
40A249A8,28,50,2019/10/6,10,26.85,0,44
40A249A8,28,50,2019/10/6,10,26.85,0,44
40A249A8,28,50,2019/10/6,10,26.84,0,44
40A249A8,28,50,2019/10/6,10,26.84,0,44
40A249A8,28,50,2019/10/6,10,26.83,0,44
40A249A8,28,50,2019/10/6,10,26.84,0,44
40A249A8,28,50,2019/10/6,10,26.83,0,44
40A249A8,28,50,2019/10/6,10,26.83,0,44
40A249A8,28,50,2019/10/6,10,26.82,0,44
40A249A8,28,50,2019/10/6,10,26.81,0,44
40A249A8,28,50,2019/10/6,10,26.8,0,44
40A249A8,28,50,2019/10/6,10,26.78,0,44
40A249A8,28,50,2019/10/6,10,26.78,0,43
40A249A8,28,50,2019/10/6,10,26.78,0,43
40A249A8,28,50,2019/10/6,10,26.77,0,43
40A249A8,28,50,2019/10/6,10,26.76,0,43
40A249A8,28,50,2019/10/6,10,26.75,0,43
40A249A8,28,50,2019/10/6,10,26.73,0,44
40A249A8,28,50,2019/10/6,10,26.72,0,44
40A249A8,28,50,2019/10/6,10,26.71,0,44
40A249A8,28,50,2019/10/6,10,26.7,0,44
40A249A8,28,50,2019/10/6,10,26.69,0,43
40A249A8,28,50,2019/10/6,10,26.65,0,43
40A249A8,28,50,2019/10/6,10,26.64,0,43
40A249A8,28,50,2019/10/6,10,26.61,0,44
40A249A8,28,50,2019/10/6,10,26.59,0,44
40A249A8,28,50,2019/10/6,10,26.58,0,44
40A249A8,28,50,2019/10/6,10,26.57,0,44
40A249A8,28,50,2019/10/6,10,26.56,0,44
40A249A8,28,50,2019/10/6,10,26.55,0,44
40A249A8,28,50,2019/10/6,10,26.54,0,44
40A249A8,28,50,2019/10/6,10,26.52,0,44
40A249A8,28,50,2019/10/6,10,26.52,0,44
40A249A8,28,50,2019/10/6,10,26.51,0,44
40A249A8,28,50,2019/10/6,10,26.5,0,44
40A249A8,28,50,2019/10/6,10,26.48,0,44
40A249A8,28,50,2019/10/6,10,26.48,0,44
40A249A8,28,50,2019/10/6,10,26.43,0,44
40A249A8,28,50,2019/10/6,10,26.42,0,44
40A249A8,28,50,2019/10/6,10,26.42,0,44
40A249A8,28,50,2019/10/6,10,26.4,0,44
40A249A8,28,50,2019/10/6,10,26.4,0,44
40A249A8,28,50,2019/10/6,10,26.37,0,44
40A249A8,28,50,2019/10/6,10,26.36,0,44
40A249A8,28,50,2019/10/6,10,26.32,0,44
40A249A8,28,50,2019/10/6,10,26.3,0,44
40A249A8,28,50,2019/10/6,10,26.29,0,44
40A249A8,28,50,2019/10/6,10,26.28,0,44
40A249A8,28,50,2019/10/6,10,26.28,0,44
40A249A8,28,50,2019/10/6,10,26.26,0,44
40A249A8,28,50,2019/10/6,10,26.26,0,44
40A249A8,28,50,2019/10/7,10,26.25,0,44
40A249A8,28,50,2019/10/7,10,26.24,0,44
40A249A8,28,50,2019/10/7,10,26.23,0,44
40A249A8,28,50,2019/10/7,10,26.23,0,44
40A249A8,28,50,2019/10/7,10,26.21,0,44
40A249A8,28,50,2019/10/7,10,26.21,0,44
40A249A8,28,50,2019/10/7,10,26.21,0,44
40A249A8,28,50,2019/10/7,10,26.21,0,44
40A249A8,28,50,2019/10/7,10,26.19,0,44
40A249A8,28,50,2019/10/7,10,26.18,0,44
40A249A8,28,50,2019/10/7,10,26.17,0,44
40A249A8,28,50,2019/10/7,10,26.15,0,44
40A249A8,28,50,2019/10/7,10,26.15,0,44
40A249A8,28,50,2019/10/7,10,26.13,0,44
40A249A8,28,50,2019/10/7,10,26.13,0,44
40A249A8,28,50,2019/10/7,10,26.13,0,44
40A249A8,28,50,2019/10/7,10,26.13,0,44
40A249A8,28,50,2019/10/7,10,26.13,0,44
40A249A8,28,50,2019/10/7,10,26.11,0,44
40A249A8,28,50,2019/10/7,10,26.1,0,44
40A249A8,28,50,2019/10/7,10,26.1,0,44
40A249A8,28,50,2019/10/7,10,26.09,0,44
40A249A8,28,50,2019/10/7,10,26.08,0,44
40A249A8,28,50,2019/10/7,10,26.07,0,44
40A249A8,28,50,2019/10/7,10,26.07,0,43
40A249A8,28,50,2019/10/7,10,26.06,0,44
40A249A8,28,50,2019/10/7,10,26.04,0,43
